On iwillvote.com?,Form complete?,Muni,AbsenteeLocation,Address,FromDate,ToDate,AdditionalInstructions
yes,NA,CITY OF ASHLAND - MULTIPLE COUNTIES,City Hall Mail Slot,"601 MAIN ST W, ASHLAND, WI 54806",9/17/2020,11/3/2020,You may deposit your ballot in the mail slot at the main entrance of Ashland City Hall.
yes,NA,CITY OF ASHLAND - MULTIPLE COUNTIES,City Hall Utility Drop Box,"601 MAIN ST W, ASHLAND, WI 54806",9/17/2020,11/3/2020,You may deposit ballots in the Ashland City Hall Utility Dropbox on Main St
no,no,CITY OF AUGUSTA - EAU CLAIRE COUNTY,City Hall Dropbox,"145 W LINCOLN ST, AUGUSTA, WI 54722-9152",9/23/2020,11/3/2020,"Envelope only Dropbox is located on the east end of City Hall, facing Lincoln St."
,,CITY OF BAYFIELD - BAYFIELD COUNTY,Bayfield City Hall,"125 S 1ST ST, BAYFIELD, WI 54814",9/30/2020,11/3/2020,"Drop Box Available for Absentee Ballots until 8 p.m. on November 3, 2020"
,,CITY OF BELOIT - ROCK COUNTY,CITY HALL,"100 STATE ST DROPBOX, BELOIT, WI 53511",10/1/2020,11/3/2020,There are two dropbox options at City Hall. The first is a DRIVE UP off of State Street in the circle drive between City Hall and Regal (where utility payments are dropped.) The second is INSIDE the lobby of City Hall at the first floor reception desk. BOTH will be available until 8pm on election night (we will assign an end of line officer to post a polls closed sign at 8pm).
,,CITY OF BRODHEAD - MULTIPLE COUNTIES,Brodhead City Hall,"1111 W 2ND AVE, BRODHEAD, WI 53520-1426",9/29/2020,11/3/2020,
,,CITY OF BROOKFIELD - WAUKESHA COUNTY,Brookfield City Hall,"2000 N CALHOUN RD, BROOKFIELD, WI 53005",9/18/2020,11/3/2020,"Received by no later than 8pm., on 11/3 to be counted."
,,CITY OF BUFFALO CITY - BUFFALO COUNTY,Buffalo City Municipal Building Drop Box,"245 E 10TH ST, BUFFALO CITY, WI 54622-7324",9/20/2020,11/3/2020,
,,CITY OF CHILTON - CALUMET COUNTY,Chilton City Hall,"42 SCHOOL ST, CHILTON, WI 53014-1346",9/20/2020,11/3/2020,Absentee ballots can be placed in the City Hall drop box (attached to the building) located to the left of the City Hall front doors.
,,CITY OF CHIPPEWA FALLS - CHIPPEWA COUNTY,"City of Chippewa Falls, City Hall","30 W CENTRAL ST, CHIPPEWA FALLS, WI 54729",9/18/2020,11/3/2020,"The Absentee Ballot Drop Box will be locked at 5:00 pm on Election Day, November 3rd to allow time for returning of the absentee ballots to the appropriate polling locations."
,,CITY OF DE PERE - BROWN COUNTY,De Pere City Hall,"335 S BROADWAY, DE PERE, WI 54115",9/17/2020,11/3/2020,
,,CITY OF DELAVAN - WALWORTH COUNTY,Delavan City Hall,"123 S 2ND ST, DELAVAN, WI 53115-1769",9/18/2020,11/3/2020,Ballots may be returned at the service counter at City Hall Monday-Friday 8:00am-4:30pm
,,CITY OF DODGEVILLE - IOWA COUNTY,Dodgeville City Hall,"100 E FOUNTAIN ST, DODGEVILLE, WI 53533-1750",9/18/2020,11/3/2020,The Dropbox is located curbside at the front entranceway of Dodgeville City Hall.  The Dropbox is clearly marked.
,,CITY OF EAU CLAIRE - MULTIPLE COUNTIES,Eau Claire City Hall,"203 S FARWELL ST, EAU CLAIRE, WI 54701",9/18/2020,11/3/2020,Drop box located on Grand Avenue on south side of City Hall. Box available until 7 a.m. on Election Day.
,,CITY OF EAU CLAIRE - MULTIPLE COUNTIES,Festival - Birch Street,"2717 BIRCH ST, EAU CLAIRE, WI 54703",9/18/2020,11/3/2020,Drop box available until 7 a.m. on Election Day.
,,CITY OF EAU CLAIRE - MULTIPLE COUNTIES,Festival - Mall Drive,"3007 MALL DR, EAU CLAIRE, WI 54701",9/18/2020,11/3/2020,Drop box available until 7 a.m. on Election Day.
,,CITY OF EAU CLAIRE - MULTIPLE COUNTIES,Festival - N Clairemont Avenue,"2615 N CLAIREMONT AVE, EAU CLAIRE, WI 54703",9/18/2020,11/3/2020,Drop box available until 7 a.m. on Election Day.
,,CITY OF EDGERTON - MULTIPLE COUNTIES,Edgerton City Hall,"12 ALBION ST, EDGERTON, WI 53534-1866",9/17/2020,11/3/2020,
,,CITY OF EVANSVILLE - ROCK COUNTY,Evansville City Hall,"31 S MADISON ST, EVANSVILLE, WI 53536",9/17/2020,11/3/2020,
no,yes,CITY OF FOUNTAIN CITY - BUFFALO COUNTY,Fountain City City Hall Dropbox,"42 N MAIN ST, FOUNTAIN CITY, WI 54629-8705",9/23/2020,11/3/2020,
no,yes,CITY OF GALESVILLE - TREMPEALEAU COUNTY,Galesville City Hall,"16773 S MAIN ST, GALESVILLE, WI 54630",9/18/2020,11/3/2020,
yes,NA,CITY OF GLENDALE - MILWAUKEE COUNTY,Glendale City Hall,"5909 N MILWAUKEE RIVER PKWY, GLENDALE, WI 53209-3815",9/17/2020,11/3/2020,The silver dropbox is located in the island of the Police Department parking lot (next to City Hall). This dropbox is secure and emptied daily by City Hall staff. 
yes,NA,CITY OF GREENFIELD - MILWAUKEE COUNTY,Greenfield City Hall,"7325 W FOREST HOME AVE, GREENFIELD, WI 53220-3356",9/18/2020,11/3/2020,"Our drop box is located in the brick wall on the south side of Greenfield City Hall, 7325 W. Forest Home Ave., and is clearly marked as a drop box.  Ballots must be placed in the drop box no later than 7 p.m. on Election Day, Tuesday, Nov. 3, 2020 to allow for timely delivery to the polls no later than 8 p.m."
yes,NA,CITY OF HAYWARD - SAWYER COUNTY,City of Hayward City Hall,"15889 W 3RD ST, HAYWARD, WI 54843-7110",9/28/2020,11/3/2020,Drop Box  - Use Water & Sewer payment drop box located in the back of City Hall by the bulletin board
,,CITY OF HORICON - DODGE COUNTY,HORICON CITY HALL,"404 E LAKE ST, HORICON, WI 53032-1245",9/21/2020,11/3/2020,
,,CITY OF HUDSON - ST. CROIX COUNTY,City Hall,"505 3RD ST, HUDSON, WI 54016-1603",9/18/2020,11/3/2020,
yes,NA,CITY OF JANESVILLE - ROCK COUNTY,Janesville City Hall,"18 N JACKSON ST, JANESVILLE, WI 53548-2928",9/17/2020,11/3/2020,"Dropbox is located at the Wall Street Entrance of City Hall.  Dropbox is available until 8 pm November 3, 2020."
