On iwillvote.com?,Form complete?,Muni,LocationType,AbsenteeLocation,Address,FromDate,ToDate,edm_DayofWeek,DayOfWeek,StartTime,EndTime,AdditionalInstructions
yes,NA,CITY OF ADAMS - ADAMS COUNTY,By Clerk Appointment,City of Adams Municipal Building,"101 N MAIN ST, ADAMS, WI 53910-9805",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:30 AM,12:00 PM,
yes,NA,CITY OF ADAMS - ADAMS COUNTY,By Clerk Appointment,City of Adams Municipal Building,"101 N MAIN ST, ADAMS, WI 53910-9805",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,1:00 PM,4:00 PM,
yes,NA,CITY OF ALGOMA - KEWAUNEE COUNTY,In-Person Absentee Voting Site,Algoma City Hall,"416 FREMONT ST, ALGOMA, WI 54201-1353",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",8:00 AM,4:00 PM,
,,CITY OF ALTOONA - EAU CLAIRE COUNTY,In-Person Absentee Voting Site,Altoona City Hall,"1303 LYNN AVE, ALTOONA, WI 54720-1942",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,10:00 AM,4:00 PM,"We kindly ask for one voter at a time as you enter the building. If you see a person inside the glass door, please wait for the person to exit before entering. If you need assistance, please call Altoona City Hall at 715-839-6092. Thank you!"
,,CITY OF ANTIGO - LANGLADE COUNTY,In-Person Absentee Voting Site,City of Antigo City Hall,"700 EDISON ST, ANTIGO, WI 54409-1955",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,-1]","Monday,Tuesday,Wednesday,Thursday",7:30 AM,4:30 PM,No appointment is needed for the Clerk's Office during regular business hours.  There is a 24-hour drop box for ballots off of Fourth Avenue by the Fire Department entrance.
,,CITY OF ANTIGO - LANGLADE COUNTY,In-Person Absentee Voting Site,City of Antigo City Hall,"700 EDISON ST, ANTIGO, WI 54409-1955",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,7:30 AM,12:00 PM,No appointment is needed for the Clerk's Office during regular business hours.  There is a 24-hour drop box for ballots off of Fourth Avenue by the Fire Department entrance.
,,CITY OF ANTIGO - LANGLADE COUNTY,In-Person Absentee Voting Site,City of Antigo City Hall,"700 EDISON ST, ANTIGO, WI 54409-1955",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,757580005,757580006,757580007,757580008,757580009,-1]",All Days,All Day,All Day,No appointment is needed for the Clerk's Office during regular business hours.  There is a 24-hour drop box for ballots off of Fourth Avenue by the Fire Department entrance.
,,CITY OF ASHLAND - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Ashland City Hall,"601 MAIN ST W, ASHLAND, WI 54806",10/20/2020,10/30/2020,"[-1,757580000,757580002,757580004,-1]","Monday,Wednesday,Friday",8:00 AM,4:00 PM,Please call the City Clerk's Office (715-682-7071) to make an appointment.
,,CITY OF ASHLAND - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Ashland City Hall,"601 MAIN ST W, ASHLAND, WI 54806",10/20/2020,10/30/2020,"[-1,757580001,757580003,-1]","Tuesday,Thursday",8:00 AM,7:00 PM,Please call the City Clerk's Office (715-682-7071) to make an appointment.
,,CITY OF ASHLAND - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Ashland City Hall,"601 MAIN ST W, ASHLAND, WI 54806",10/20/2020,10/30/2020,"[-1,757580005,-1]",Saturday,10:00 AM,1:00 PM,Please call the City Clerk's Office (715-682-7071) to make an appointment.
,,CITY OF AUGUSTA - EAU CLAIRE COUNTY,In-Person Absentee Voting Site,Augusta City Hall,"145 W LINCOLN ST, AUGUSTA, WI 54722-9152",10/20/2020,10/30/2020,"[-1,757580001,757580002,757580003,757580004,-1]","Tuesday,Wednesday,Thursday,Friday",8:00 AM,4:00 PM,"Also Monday, October 26, 2020 8:00 AM - 4:00 PM"
,,CITY OF BARRON - BARRON COUNTY,In-Person Absentee Voting Site,Barron City Hall,"1456 E LASALLE AVE, BARRON, WI 54812-1638",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,7:30 AM,4:30 PM,
