precinct_id,precinct_name,polling_location,address,zip,gc_polling_location
417800,DUNN - TOWN OF WESTON - WARD 001,WESTON TOWN HALL,N3665 175TH ST,54751,"SAINT HENRY'S PARISH HALL, N460 COUNTY ROAD D, EAU GALLE, WI, 54737"
415077,BARRON - TOWN OF CRYSTAL LAKE - WARD 001,CRYSTAL LAKE TOWN HALL,1876 STATE ROAD 63,54826,"CRYSTAL LAKE TOWN HALL, 1876 STATE ROAD, 63, COMSTOCK, WI, 54826"
416949,CLARK - VILLAGE OF WITHEE - WARD 001,WITHEE VILLAGE HALL,511 DIVISION ST BOX A,54498,"WITHEE VILLAGE HALL, 511 DIVISION ST, BOX A, WITHEE, WI, 54498"
417770,CRAWFORD - TOWN OF CLAYTON - WARD 002,CLAYTON TOWN HALL,13069 STATE HWY 61,54655,"CLAYTON TOWN HALL, 13069 STATE HWY, 61, SOLDIERS GROVE, WI, 54655"
418653,CRAWFORD - TOWN OF CLAYTON - WARD 003,CLAYTON TOWN HALL,13069 STATE HWY 61,54655,"CLAYTON TOWN HALL, 13069 STATE HWY, 61, SOLDIERS GROVE, WI, 54655"
417069,CRAWFORD - TOWN OF SCOTT - WARD 001,MOUNT ZION METHODIST CHURCH,21588 MOUNT ZION ROAD,54631,"MOUNT ZION METHODIST CHURCH, 21588 MT. ZION ROAD, BOSCOBEL, WI, 54631"
416045,CRAWFORD - VILLAGE OF WAUZEKA - WARD 001,WAUZEKA VILLAGE HALL,213 E FRONT ST B,53826,"WAUZEKA VILLAGE HALL, 213 E FRONT ST, B, WAUZEKA, WI, 53826"
418727,DOUGLAS - CITY OF SUPERIOR - WARD 017,SUPERIOR SALVATION ARMY,916 HUGHITT AVE,54880,"SUPERIOR GOVERNMENT CENTER, 1316 N 14TH ST, SUPERIOR, WI, 54880"
417882,DOUGLAS - CITY OF SUPERIOR - WARD 018,SUPERIOR SALVATION ARMY,916 HUGHITT AVE,54880,"SUPERIOR GOVERNMENT CENTER, 1316 N 14TH ST, SUPERIOR, WI, 54880"
418258,DOUGLAS - CITY OF SUPERIOR - WARD 019,SUPERIOR SALVATION ARMY,916 HUGHITT AVE,54880,"SUPERIOR GOVERNMENT CENTER, 1316 N 14TH ST, SUPERIOR, WI, 54880"
413455,DOUGLAS - CITY OF SUPERIOR - WARD 030,SUPERIOR SALVATION ARMY,916 HUGHITT AVE,54880,"SUPERIOR GOVERNMENT CENTER, 1316 N 14TH ST, SUPERIOR, WI, 54880"
417772,DOUGLAS - CITY OF SUPERIOR - WARD 031,SUPERIOR SALVATION ARMY,916 HUGHITT AVE,54880,"SUPERIOR GOVERNMENT CENTER, 1316 N 14TH ST, SUPERIOR, WI, 54880"
416136,DOUGLAS - VILLAGE OF SOLON SPRINGS - WARD 001,SOLON SPRINGS COMMUNITY CENTER,11523 S BUS HIGHWAY 53,54873,"SOLON SPRINGS COMMUNITY CENTER, 11523 S BUS HIGHWAY, 53, SOLON SPRINGS, WI, 54873"
416279,GREEN - TOWN OF JORDAN - WARD 001,JORDAN TOWN HALL,W8495 STATE HWY 81,53504,"JORDAN TOWN HALL, W8495 STATE HWY, 81, ARGYLE, WI, 53504"
415940,IOWA - TOWN OF MINERAL POINT - WARD 001,MINERAL POINT TOWN HALL,4070 STATE HWY 39,53565,"MINERAL POINT TOWN HALL, 4070 STATE HWY, 39, MINERAL POINT, WI, 53565"
418036,IOWA - TOWN OF MINERAL POINT - WARD 002,MINERAL POINT TOWN HALL,4070 STATE HWY 39,53565,"MINERAL POINT TOWN HALL, 4070 STATE HWY, 39, MINERAL POINT, WI, 53565"
416915,IOWA - VILLAGE OF COBB - WARD 001,COBB COMMUNITY CENTER,404 MOTEL ST PO BOX 158,53526,"COBB COMMUNITY CENTER, 404 MOTEL ST, PO BOX 158, COBB, WI, 53526"
418660,IRON - TOWN OF ANDERSON - WARD 001,UPSON TOWN HALL,10886 N HWY 122,54565,"UPSON TOWN HALL, 10886 N HWY, 122, UPSON, WI, 54565"
416467,KEWAUNEE - VILLAGE OF CASCO - WARD 001,CASCO VILLAGE HALL - FIRE DEPARTMENT,211 1ST ST LOWR,54205,"CASCO VILLAGE HALL - FIRE DEPARTMENT, 211 1ST ST, LOWR, CASCO, WI, 54205"
413661,MARINETTE - CITY OF MARINETTE - WARD 001,COMMUNITY REC CENTER FACILITY,2501 PIERCE AVE RM 03,54143,"COMMUNITY REC CENTER FACILITY, 2501 PIERCE AVE, RM 03, MARINETTE, WI, 54143"
413941,MARINETTE - CITY OF MARINETTE - WARD 002,COMMUNITY REC CENTER FACILITY,2501 PIERCE AVE RM 03,54143,"COMMUNITY REC CENTER FACILITY, 2501 PIERCE AVE, RM 03, MARINETTE, WI, 54143"
