state_code,county_name,town,precinct_name,precinct_id,GC_Polling_Place
WI,ADAMS,TOWN OF STRONGS PRAIRIE,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 003,1578843,NA
WI,ADAMS,CITY OF ADAMS,ADAMS - CITY OF ADAMS - WARD 004,418146,"ADAMS CITY HALL, 101 N MAIN ST, ADAMS, WI, 53910"
WI,ADAMS,CITY OF ADAMS,ADAMS - CITY OF ADAMS - WARD 003,418260,"ADAMS CITY HALL, 101 N MAIN ST, ADAMS, WI, 53910"
WI,ADAMS,CITY OF WISCONSIN DELLS,ADAMS - CITY OF WISCONSIN DELLS - WARD 005,418829,"WISCONSIN DELLS MUNICIPAL BUILDING, 300 LA CROSSE ST, WISCONSIN DELLS, WI, 53965"
WI,ADAMS,TOWN OF EASTON,ADAMS - TOWN OF EASTON - WARD 002,415715,"EASTON TOWN HALL, 1163 COUNTY ROAD A, ADAMS, WI, 53910"
WI,ADAMS,TOWN OF ROME,ADAMS - TOWN OF ROME - WARD 003,416268,"ROME MUNICIPAL BUILDING, 1156 ALPINE DR, NEKOOSA, WI, 54457"
WI,ADAMS,TOWN OF ADAMS,ADAMS - TOWN OF ADAMS - WARD 001,414321,"ADAMS TOWN HALL, 1980 11TH AVE, FRIENDSHIP, WI, 53934"
WI,ADAMS,TOWN OF QUINCY,ADAMS - TOWN OF QUINCY - WARD 002,415672,NA
WI,ADAMS,TOWN OF RICHFIELD,ADAMS - TOWN OF RICHFIELD - WARD 001,418416,"RICHFIELD TOWN HALL, 1602 COUNTY ROAD G, COLOMA, WI, 54930"
WI,ADAMS,TOWN OF NEW HAVEN,ADAMS - TOWN OF NEW HAVEN - WARD 001,415475,"NEW HAVEN TOWN HALL, 330 GOLDEN CT, WISCONSIN DELLS, WI, 53965"
WI,ADAMS,TOWN OF STRONGS PRAIRIE,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 001,415984,"STRONGS PRAIRIE TOWN HALL, 1588 STATE HWY 21, ARKDALE, WI, 54613"
WI,ADAMS,TOWN OF QUINCY,ADAMS - TOWN OF QUINCY - WARD 003,1578842,"QUINCY TOWN HALL, 2599 COUNTY ROAD Z, FRIENDSHIP, WI, 53934"
WI,ADAMS,TOWN OF BIG FLATS,ADAMS - TOWN OF BIG FLATS - WARD 001,414128,NA
WI,ADAMS,TOWN OF COLBURN,ADAMS - TOWN OF COLBURN - WARD 001,418087,"COLBURN TOWN HALL, 198 COUNTY ROAD C, HANCOCK, WI, 54943"
WI,ADAMS,CITY OF ADAMS,ADAMS - CITY OF ADAMS - WARD 001,415870,"ADAMS CITY HALL, 101 N MAIN ST, ADAMS, WI, 53910"
WI,ADAMS,TOWN OF NEW CHESTER,ADAMS - TOWN OF NEW CHESTER - WARD 002,417107,NA
WI,ADAMS,TOWN OF NEW CHESTER,ADAMS - TOWN OF NEW CHESTER - WARD 003,1578841,"NEW CHESTER TOWN HALL, 629 MASON ST, GRAND MARSH, WI, 53936"
WI,ADAMS,TOWN OF ROME,ADAMS - TOWN OF ROME - WARD 002,414617,"ROME MUNICIPAL BUILDING, 1156 ALPINE DR, NEKOOSA, WI, 54457"
WI,ADAMS,TOWN OF PRESTON,ADAMS - TOWN OF PRESTON - WARD 002,417235,"PRESTON TOWN HALL, 1801 11TH AVE, FRIENDSHIP, WI, 53934"
WI,ADAMS,TOWN OF DELL PRAIRIE,ADAMS - TOWN OF DELL PRAIRIE - WARD 002,413896,"DELL PRAIRIE TOWN HALL, 763 COUNTY ROAD K, WISCONSIN DELLS, WI, 53965"
WI,ADAMS,TOWN OF SPRINGVILLE,ADAMS - TOWN OF SPRINGVILLE - WARD 002,414163,NA
WI,ADAMS,TOWN OF ROME,ADAMS - TOWN OF ROME - WARD 004,414763,"ROME MUNICIPAL BUILDING, 1156 ALPINE DR, NEKOOSA, WI, 54457"
WI,ADAMS,TOWN OF EASTON,ADAMS - TOWN OF EASTON - WARD 001,417834,"EASTON TOWN HALL, 1163 COUNTY ROAD A, ADAMS, WI, 53910"
WI,ADAMS,TOWN OF LEOLA,ADAMS - TOWN OF LEOLA - WARD 001,417916,"PONDEROSA PINES, 287 STATE ROAD 73, PLAINFIELD, WI, 54966"
WI,ADAMS,TOWN OF BIG FLATS,ADAMS - TOWN OF BIG FLATS - WARD 002,1578838,"BIG FLATS TOWN HALL, 1104 COUNTY ROAD C, ARKDALE, WI, 54613"
WI,ADAMS,VILLAGE OF FRIENDSHIP,ADAMS - VILLAGE OF FRIENDSHIP - WARD 001,416146,"Friendship Village Municipal Hall, 507 W LAKE ST, FRIENDSHIP, WI, 53934"
WI,ADAMS,TOWN OF SPRINGVILLE,ADAMS - TOWN OF SPRINGVILLE - WARD 001,418191,"Springville Townhall, 3143 STATE HIGHWAY 13, WISCONSIN DELLS, WI, 53965"
WI,ADAMS,TOWN OF PRESTON,ADAMS - TOWN OF PRESTON - WARD 001,416964,"PRESTON TOWN HALL, 1801 11TH AVE, FRIENDSHIP, WI, 53934"
WI,ADAMS,TOWN OF NEW CHESTER,ADAMS - TOWN OF NEW CHESTER - WARD 001,416991,"NEW CHESTER TOWN HALL, 629 MASON ST, GRAND MARSH, WI, 53936"
WI,ADAMS,TOWN OF ADAMS,ADAMS - TOWN OF ADAMS - WARD 002,417676,"ADAMS TOWN HALL, 1980 11TH AVE, FRIENDSHIP, WI, 53934"
WI,ADAMS,TOWN OF MONROE,ADAMS - TOWN OF MONROE - WARD 001,416805,NA
WI,ADAMS,CITY OF ADAMS,ADAMS - CITY OF ADAMS - WARD 002,417089,"ADAMS CITY HALL, 101 N MAIN ST, ADAMS, WI, 53910"
WI,ADAMS,TOWN OF DELL PRAIRIE,ADAMS - TOWN OF DELL PRAIRIE - WARD 003,1578839,"DELL PRAIRIE TOWN HALL, 763 COUNTY ROAD K, WISCONSIN DELLS, WI, 53965"
WI,ADAMS,TOWN OF JACKSON,ADAMS - TOWN OF JACKSON - WARD 002,1578840,"JACKSON TOWN HALL, 398 STATE ROAD 82, OXFORD, WI, 53952"
WI,ADAMS,TOWN OF DELL PRAIRIE,ADAMS - TOWN OF DELL PRAIRIE - WARD 001,417380,"DELL PRAIRIE TOWN HALL, 763 COUNTY ROAD K, WISCONSIN DELLS, WI, 53965"
WI,ADAMS,TOWN OF ADAMS,ADAMS - TOWN OF ADAMS - WARD 003,1578837,"ADAMS TOWN HALL, 1980 11TH AVE, FRIENDSHIP, WI, 53934"
WI,ADAMS,TOWN OF JACKSON,ADAMS - TOWN OF JACKSON - WARD 001,414040,"JACKSON TOWN HALL, 398 STATE ROAD 82, OXFORD, WI, 53952"
WI,ADAMS,TOWN OF STRONGS PRAIRIE,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 002,416086,"STRONGS PRAIRIE TOWN HALL, 1588 STATE HWY 21, ARKDALE, WI, 54613"
WI,ADAMS,TOWN OF QUINCY,ADAMS - TOWN OF QUINCY - WARD 001,416153,"QUINCY TOWN HALL, 2599 COUNTY ROAD Z, FRIENDSHIP, WI, 53934"
WI,ADAMS,TOWN OF ROME,ADAMS - TOWN OF ROME - WARD 001,417008,"ROME MUNICIPAL BUILDING, 1156 ALPINE DR, NEKOOSA, WI, 54457"
WI,ADAMS,TOWN OF ROME,ADAMS - TOWN OF ROME - WARD 005,417245,NA
WI,ADAMS,TOWN OF LINCOLN,ADAMS - TOWN OF LINCOLN - WARD 001,417640,"LINCOLN TOWN HALL, 2181 COUNTY ROAD G, GRAND MARSH, WI, 53936"
WI,ASHLAND,CITY OF ASHLAND,ASHLAND - CITY OF ASHLAND - WARD 003,415452,"WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND, 2100 BEASER AVE, ASHLAND, WI, 54806"
