Precinct ID,Precinct Name,Address,City,Zip,County,Polling Location Contact Info,Authenticating Authority,Date Authenticated*,Authority Contact Info,Precinct Code,Polling Location,Location Description
1578843,Adams - Town Of Strongs Prairie - Ward 003,NULL,TOWN OF STRONGS PRAIRIE,NA,Adams,NA,State Election Official,8-11-2020,(608) 266-8005,NA,NA,NA
418146,Adams - City Of Adams - Ward 004,NULL,CITY OF ADAMS,NA,Adams,NA,State Election Official,8-11-2020,(608) 266-8005,NA,NA,NA
418260,Adams - City Of Adams - Ward 003,NULL,CITY OF ADAMS,NA,Adams,NA,State Election Official,8-11-2020,(608) 266-8005,NA,NA,NA
418829,Adams - City Of Wisconsin Dells - Ward 005,NULL,CITY OF WISCONSIN DELLS,NA,Adams,NA,State Election Official,8-11-2020,(608) 266-8005,NA,NA,NA
415715,Adams - Town Of Easton - Ward 002,NULL,TOWN OF EASTON,NA,Adams,NA,State Election Official,8-11-2020,(608) 266-8005,NA,NA,NA
416268,Adams - Town Of Rome - Ward 003,NULL,TOWN OF ROME,NA,Adams,NA,State Election Official,8-11-2020,(608) 266-8005,NA,NA,NA
NA,NA,"101 N MAIN ST, ADAMS, WI 53910-9805",NA,53910,Adams,608-339-6516,State Election Official,8-11-2020,(608) 266-8005,NA,NA,NA
NA,NA,"300 LA CROSSE ST, WISCONSIN DELLS, WI 53965-1568",NA,53965,Adams,608-254-2012,State Election Official,8-11-2020,(608) 266-8005,NA,NA,NA
NA,NA,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005",NA,53934,Adams,608-339-9607,State Election Official,8-11-2020,(608) 266-8005,NA,NA,NA
NA,NA,"1104 COUNTY ROAD C, ARKDALE, WI 54613-9728",NA,54613,Adams,608-564-7754,State Election Official,8-11-2020,(608) 266-8005,NA,NA,NA
NA,NA,"1602 COUNTY ROAD G, COLOMA, WI 54930",NA,54930,Adams,715-228-3752,State Election Official,8-11-2020,(608) 266-8005,NA,NA,NA
NA,NA,"763 COUNTY ROAD K, WISCONSIN DELLS, WI 53965-8981",NA,53965,Adams,(608) 254-2618,State Election Official,8-11-2020,(608) 266-8005,NA,NA,NA
