Precinct ID,Precinct Code,Precinct Name,Polling Location,Location Description,Address,City,Zip,County,Polling Location Contact Info,Authenticating Authority,Date Authenticated*,Muni,PollingPlaceAddress
415870,00100275001,ADAMS - CITY OF ADAMS - WARD 001,ADAMS CITY HALL,7:00 AM - 8:00 PM,101 N MAIN ST,ADAMS,53910,ADAMS,608-339-6516,State Election Official,8-11-2020,ADAMS,"101 N MAIN ST, ADAMS, WI 53910-9805"
417089,00100275002,ADAMS - CITY OF ADAMS - WARD 002,ADAMS CITY HALL,7:00 AM - 8:00 PM,101 N MAIN ST,ADAMS,53910,ADAMS,608-339-6516,State Election Official,8-11-2020,ADAMS,"101 N MAIN ST, ADAMS, WI 53910-9805"
418260,00100275003,ADAMS - CITY OF ADAMS - WARD 003,ADAMS CITY HALL,7:00 AM - 8:00 PM,101 N MAIN ST,ADAMS,53910,ADAMS,608-339-6516,State Election Official,8-11-2020,ADAMS,"101 N MAIN ST, ADAMS, WI 53910-9805"
418146,00100275004,ADAMS - CITY OF ADAMS - WARD 004,ADAMS CITY HALL,7:00 AM - 8:00 PM,101 N MAIN ST,ADAMS,53910,ADAMS,608-339-6516,State Election Official,8-11-2020,ADAMS,"101 N MAIN ST, ADAMS, WI 53910-9805"
418829,00188150005,ADAMS - CITY OF WISCONSIN DELLS - WARD 005,WISCONSIN DELLS MUNICIPAL BUILDING,7:00 AM - 8:00 PM,300 LA CROSSE ST,WISCONSIN DELLS,53965,ADAMS,608-254-2012,State Election Official,8-11-2020,WISCONSIN DELLS,"300 LA CROSSE ST, WISCONSIN DELLS, WI 53965-1568"
414321,00100300001,ADAMS - TOWN OF ADAMS - WARD 001,ADAMS TOWN HALL,7:00 AM - 8:00 PM,1980 11TH AVE,FRIENDSHIP,53934,ADAMS,608-339-9607,State Election Official,8-11-2020,ADAMS,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005"
417676,00100300002,ADAMS - TOWN OF ADAMS - WARD 002,ADAMS TOWN HALL,7:00 AM - 8:00 PM,1980 11TH AVE,FRIENDSHIP,53934,ADAMS,608-339-9607,State Election Official,8-11-2020,ADAMS,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005"
1578837,00100300003,ADAMS - TOWN OF ADAMS - WARD 003,ADAMS TOWN HALL,7:00 AM - 8:00 PM,1980 11TH AVE,FRIENDSHIP,53934,ADAMS,608-339-9607,State Election Official,8-11-2020,ADAMS,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005"
414128,00107300001,ADAMS - TOWN OF BIG FLATS - WARD 001,BIG FLATS TOWN HALL,7:00 AM - 8:00 PM,1104 COUNTY ROAD C,ARKDALE,54613,ADAMS,608-564-7754,State Election Official,8-11-2020,BIG FLATS,"1104 COUNTY ROAD C, ARKDALE, WI 54613-9728"
1578838,00107300002,ADAMS - TOWN OF BIG FLATS - WARD 002,BIG FLATS TOWN HALL,7:00 AM - 8:00 PM,1104 COUNTY ROAD C,ARKDALE,54613,ADAMS,608-564-7754,State Election Official,8-11-2020,BIG FLATS,"1104 COUNTY ROAD C, ARKDALE, WI 54613-9728"
