Municipality,HINDI,Website,Updated,Clerk,Deputy_Clerk,Address,Address_Mailing,Phone_1,Fax
TOWN OF ADAMS ADAMS COUNTY,01002,http://townofadamswi.com/,10/16/2019,MIRANDA CHRISTENSEN,KAREN K CHURCH,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005","PO BOX 801, FRIENDSHIP, WI 53934-0801",608-339-9607,608-339-3017
TOWN OF BIG FLATS ADAMS COUNTY,01004,http://bigflatswi.com/,1/19/2018,MARY O'NEIL,NA,"1104 COUNTY ROAD C, ARKDALE, WI 54613-9728",NA,608-547-1864,NA
TOWN OF COLBURN ADAMS COUNTY,01006,NA,9/24/2018,TERRI L HORACEK,NA,"198 County RD C, Hancock, WI 54943","592 BIGHORN AVE, HANCOCK, WI 54943-9536",715-249-5998,NA
TOWN OF DELL PRAIRIE - ADAMS COUNTY,01008,NA,1/23/2020,JONI GEHRKE,NA,"763 COUNTY ROAD K, WISC DELLS, WI 53965-8981",NA,608-254-2618,608-254-2618
TOWN OF EASTON ADAMS COUNTY,01010,NA,1/26/2018,ANGELA LOCHNER,NA,"1163 COUNTY ROAD A, ADAMS, WI 53910-9784","935 COUNTY ROAD E, ADAMS, WI 53910",608-576-5953,NA
TOWN OF JACKSON ADAMS COUNTY,01012,https://townofjackson.us/,6/18/2018,CANDACE PEGLER,NA,"398 STATE ROAD 82, OXFORD WI 53952","316 FISH CT, OXFORD, WI 53952-9657",608-586-6391,608-586-6391
TOWN OF LEOLA ADAMS COUNTY,01014,http://www.tn.leola.wi.gov/,7/16/2018,NANCY GASPERIC,NA,"172 ANIWA LN, PLAINFIELD, WI 54966-9587","127 APACHE LN, PLAINFIELD, WI 54966-9587",715-335-4732,715-335-4732
TOWN OF LINCOLN ADAMS COUNTY,01016,NA,3/19/2019,PATTI NELSON,KAREN K CHURCH,"2181 COUNTY ROAD G, GRAND MARSH, WI 53936-9641","2205 4TH DR, WESTFIELD, WI 53964-9226",608-844-4856,NA
TOWN OF MONROE ADAMS COUNTY,01018,NA,3/18/2016,DARLENE FERGUSON,NA,"981 COUNTY ROAD Z, ARKDALE, WI 54613-7701",NA,608-564-7271,608-564-2283
TOWN OF NEW CHESTER - ADAMS,01020,NA,1/3/2018,LAURA SOLIS,NA,"629 MASON ST, GRAND COUNTY MARSH, WI 53936-9576","PO BOX 69, GRAND MARSH, WI 53936-0069",608-472-6182,NA
TOWN OF NEW HAVEN ADAMS COUNTY,01022,https://www.newhavenwi.us/,4/29/2019,KEN CROTHERS,NA,"330 GOLDEN CT, WISC DELLS, WI 53965-8616","3890 COUNTY ROAD G, WISC DELLS, WI 53965-8621",608-253-4064,NA
TOWN OF PRESTON ADAMS COUNTY,01024,NA,1/19/2018,SCOTT SORENSEN,NA,"1801 11TH AVE, FRIENDSHIP, WI 53934-9724","1739 11TH AVE, FRIENDSHIP, WI 53934-9724",608-339-6298,NA
TOWN OF QUINCY ADAMS COUNTY,01026,NA,4/29/2019,KATHY BORK,NA,"2599 COUNTY ROAD Z, FRIENDSHIP, WI 53934-9617",NA,608-339-7230,NA
TOWN OF RICHFIELD ADAMS COUNTY,01028,NA,11/30/2017,TANYA BURROWS,NA,"1602 COUNTY ROAD G, COLOMA WI 54930-9457","153 CUMBERLAND AVE, COLOMA, WI 54930-9457",715-323-6868,NA
TOWN OF ROME ADAMS COUNTY,01030,http://townofrome.com/,12/14/2018,AMY REUTEMAN,WENDY NEWSON,"1156 ALPINE DR, NEKOOSA, WI 54457-8616",NA,715-325-8022,715-325-8035
TOWN OF SPRINGVILLE - ADAMS COUNTY,01032,NA,10/24/2017,FREDRIKA DETTLAFF,NA,"3143 STATE HIGHWAY 13, WISC DELLS, WI 53965-8925","1003 Fur Ave, Wisc Dells, WI 53965-8925",608-678-7950,NA
TOWN OF STRONGS PRAIRIE - ADAMS,01034,NA,11/2/2017,LORI HENTHORNE,NA,"1588 STATE HWY 21, COUNTY ARKDALE, WI 54613","PO BOX 69, ARKDALE, WI 54613-0069",608-564-7626,NA
VILLAGE OF FRIENDSHIP - ADAMS,01126,NA,9/16/2019,LINDA HOGAN,MACY KUHNKE,"507 W LAKE ST, FRIENDSHIP, WI 53934-9301","PO BOX 206, FRIENDSHIP, WI 53934-0206",608-339-3243 EXT 2,608-339-4763
CITY OF ADAMS ADAMS COUNTY,01201,https://cityofadamswi.org/,2/14/2019,JANET L WINTERS,BRENDA MEAD,"101 N MAIN ST, ADAMS, WI 53910-9805","PO BOX 1009, ADAMS, WI 53910-1009",608-339-6516,608-339-8170
TOWN OF AGENDA ASHLAND COUNTY,02002,NA,5/16/2019,HOWARD SCHERWINSKI,NA,"73922 AGENDA RD, BUTTERNUT, WI 54514-8681","82479 COUNTY ROAD F, BUTTERNUT, WI 54514-8683",715-769-3334,715-769-3538
